status	Genename	Geneid	Chr	Start	End	Strand	Length	IOSE11	IOSE4	FT282-A	FT282-B	EEC16	EFO27	GTFR230	MCAS	OAW42	VOA1056	CaOV3	HEY	UWB1_289	Kuramochi	ES2	JHOC5	RMGII	BT549	MCF10A	MCF12A-A	MCF12A-B	MCF7
Selected	AC009227.2	ENSG00000224675.1	chr2	154435853	154457438	-	21586	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.78674555498192	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	3.12870012458677	2.06610943416888	6.96807716109369	4.61536159776899	2.06610943416888	2.06610943416888	8.4282468680563	7.31200738242388	3.31624562686419	3.92588238262296	4.34324365916522	5.76718256101876
Selected	SLC9A3	ENSG00000066230.10	chr5	473310	524332	-	51023	9.97286587998272	9.13627872953977	10.0668873842853	10.0726520256216	7.58316932140986	10.470183857334	7.97113480066781	10.155136560139	9.52103495790506	8.76532446613731	9.32823005743134	9.68872393209642	6.79357372472569	8.5689488399415	6.2508591886103	4.99435536395694	5.2496417827447	7.92134430064016	8.4404198703759	9.21791557599886	9.42750401858523	9.63166994519233
Selected	JAKMIP2-AS1	ENSG00000280780.2	chr5	147559994	147662009	+	102016	2.06610943416888	3.00692927848356	5.60351301752339	5.43332733928839	2.06610943416888	2.67543614189899	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	4.86591098126144	2.06610943416888	2.06610943416888	4.16423703849842	2.94937894205946	2.06610943416888	2.06610943416888	2.06610943416888	3.09700471146433	2.06610943416888	2.06610943416888	6.94540312317441
Selected	RP11-373N22.3	ENSG00000247199.3	chr5	148268307	148383783	-	115477	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	6.5984008895761	7.30122281509233	2.06610943416888	2.06610943416888	4.34308688400762	11.7619318754428	2.06610943416888	3.87559479308884	2.8903066652693	3.13990569680138	4.64324666908079	2.06610943416888	2.06610943416888	3.09700471146433	2.06610943416888	2.06610943416888	5.17547922113551
Selected	XXbac-BPG308J9.3	ENSG00000232505.2	chr6	29223973	29290440	+	66468	2.06610943416888	2.06610943416888	2.06610943416888	2.8918445130439	2.06610943416888	2.06610943416888	2.6296016842913	2.94063131080137	2.06610943416888	8.34420945039687	2.06610943416888	2.06610943416888	2.06610943416888	2.65281136626285	2.06610943416888	2.75114003330551	2.74396659477121	2.06610943416888	2.06610943416888	2.06610943416888	2.85350490469741	2.06610943416888
Selected	PDE1C	ENSG00000154678.16	chr7	31751179	32299329	-	548151	2.73849258836149	3.00692927848356	6.73258304234255	6.77756994625593	4.34430355030979	4.9689215980284	2.85810050758943	2.94063131080137	2.06610943416888	2.06610943416888	2.06610943416888	3.14142947027607	5.90245785740299	4.43338204016277	5.67077794192111	3.02620077544148	3.01631819897326	6.37510020630125	2.06610943416888	2.94305825687162	3.58884527010755	2.76732237373877
Selected	DLX6-AS1	ENSG00000231764.8	chr7	96955141	97014065	-	58925	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	6.72808139587632	4.53265370919841	2.06610943416888	8.73565630690822	2.06610943416888	8.28210778533108	2.06610943416888	7.75975262966331	7.60773401861633	4.76345672625369	5.97569000039137	6.99797260533858	2.75025871769375	2.06610943416888	3.2885815615576	3.39899570056144	2.06610943416888
Selected	RP11-523O18.1	ENSG00000226576.1	chr10	48984564	49018897	+	34334	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	5.23952953844541	6.62084299324007	2.06610943416888	2.06610943416888	6.08077076995006	4.10342195852129	4.5273328432509	2.06610943416888	2.06610943416888	4.73744564764399	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	3.2885815615576	2.85350490469741	2.06610943416888
Selected	RP11-109L13.1	ENSG00000254851.1	chr11	117135528	117138582	+	3055	2.06610943416888	2.06610943416888	7.67634649419289	7.47115919989191	9.27763795498777	2.06610943416888	2.6296016842913	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.67210493552902	2.65281136626285	2.06610943416888	2.06610943416888	2.06610943416888	5.80829015467041	5.01663744537924	2.06610943416888	3.16664808741482	3.93547325665092
Selected	PCSK7	ENSG00000160613.12	chr11	117204337	117232525	-	28189	13.6944982442283	14.1518337231016	14.0349466196153	14.0391057190375	15.8424342337751	9.8185498141733	7.87099323377822	5.52569053301109	5.9960828327002	10.9599387135278	5.48592350479391	5.62745146988291	10.6173571680012	10.9134281023037	3.66188219524198	4.52386929940955	5.9037575412225	13.0974744028441	14.9228639612948	7.33478859980778	7.75110855246155	11.2697435794676
Selected	RP1-197B17.3	ENSG00000257433.5	chr12	47706085	47742294	+	36210	4.13460555675307	4.35267296309167	8.2894171315678	8.20201751233884	4.7508749013712	4.29362503184888	4.25573530050416	5.55051935416293	12.4408284643446	11.531663421144	6.81728847221753	8.277981351291	10.5860329526679	13.0164438555539	5.47294539312242	10.4073226898753	10.4356406303134	3.99169465194659	5.94550222726966	8.02455098431012	8.22809112647891	4.7491045079887
Selected	TUBA1C	ENSG00000167553.15	chr12	49188736	49274603	+	85868	9.33646578214874	10.133877782719	10.7809744151331	10.7059467419887	10.3551024663697	8.15502324632792	5.94934900814573	4.603534064638	7.26961530033614	8.78153706628435	6.37530340579766	6.20776591591024	6.76397778082104	5.8735705974542	6.99157133702435	7.10976268912459	6.3168013329989	9.90280483364124	9.70147895693127	5.84624796911786	5.85648277836885	9.66253060036799
Selected	RP11-299G20.2	ENSG00000259172.1	chr15	101295419	101305737	+	10319	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.78674555498192	7.54262734044164	5.62726007765695	9.63374203663425	8.22147273924401	2.7585800345176	9.2087474751177	2.95065025677891	6.07352866698387	2.65281136626285	2.06610943416888	2.06610943416888	6.78014763355251	2.06610943416888	7.76065457293952	7.96128970565698	7.70762982514654	9.25659520697867
Selected	RP11-127I20.5	ENSG00000267077.1	chr16	4795265	4796532	-	1268	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.6296016842913	8.81425180320312	2.06610943416888	8.84153474137227	8.75256041095472	2.06610943416888	7.58478867690318	6.59489789267173	2.06610943416888	2.06610943416888	2.06610943416888	2.75025871769375	5.37198571922818	3.92588238262296	2.06610943416888	5.13404983885921
Selected	PYCARD-AS1	ENSG00000261359.2	chr16	31201885	31203452	+	1568	7.63046551350605	2.73715490965345	4.39771956179277	4.43711472910771	6.88386501964286	6.24067886004664	6.03762069610271	5.97330335562394	2.06610943416888	7.51051305460498	8.10039530475187	2.06610943416888	5.48290085081813	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.75025871769375	3.31624562686419	6.51013487500847	6.71954068852002	2.06610943416888
Selected	AC118754.4	ENSG00000229782.1	chr17	4497394	4499674	-	2281	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	2.06610943416888	7.94869659169824	5.03656943797401	3.91452197384365	2.06610943416888	4.57783619294602	5.5308820041087	2.65281136626285	2.06610943416888	6.1623399143538	3.65958630774981	2.06610943416888	2.80264536834484	2.06610943416888	2.06610943416888	3.04847566305675
Selected	ZNF577	ENSG00000161551.14	chr19	51804816	51890950	-	86135	10.2763246290974	8.62844476562551	2.96837149671499	2.8918445130439	3.07517644157893	3.10665492370524	3.76033135903571	2.06610943416888	2.75071773100348	2.06610943416888	2.82576698018229	2.06610943416888	2.67210493552902	2.65281136626285	2.06610943416888	2.06610943416888	2.74396659477121	2.06610943416888	3.31624562686419	2.06610943416888	2.06610943416888	3.25841400298559
Selected	TSIX	ENSG00000270641.1	chrX	73792205	73829231	+	37027	11.8673636489899	12.6492216392615	12.3875616396932	12.3494213933519	12.4102842022068	11.0252764544915	12.7183351574911	2.94063131080137	10.7036067600401	12.2138316421575	3.12870012458677	2.69639266513536	2.67210493552902	2.06610943416888	10.5324514256275	2.75114003330551	4.0655510708244	2.75025871769375	12.1506169592199	11.1233920543143	10.9578235982617	2.06610943416888
